Unnamed: 0.1,Unnamed: 0,Author,Title,Publication Year,Abstract Note,SOURCE,Abstract Note Length
54,111,j. flynn,The mean IQ of Americans: Massive gains 1932 to 1978.,1984,"This study shows that every Stanford-Binet and Wechsler standardization sample from 1932 to 1978 established norms of a higher standard than its predecessor. The obvious interpretation of this pattern is that representative samples of Americans did better and better on IQ tests over a period of 46 years, the total gain amounting to a rise in mean IQ of 13.8 points. The implications of this finding are developed: The combination of IQ gains and the decline in Scholastic Aptitude Test scores seems almost inexplicable; obsolete norms have acted as an unrecognized confounding variable in hundreds of studies; and IQ gains of this magnitude pose a serious problem of causal explanation.",data/mutualism.pdf,688
55,112,n. mackintosh,IQ and human intelligence,1998,"1. The early development and uses of IQ tests 2. Psychometric theories of intelligence 3. The search for cognitive processes underlying components of IQ: Gs or speed and efficiency of information processing 4. Verbal, spatial and fluid abilities: Gc, Gv and Gf 5. Associative learning, working memory and executive control 6. Intelligence and the brain 7. Theories of g 8. The stability of IQ and the rise and fall of intelligence 9. The predictive validity of IQ - and its limits 10. Is this all? Multiple aspects of intelligence 11. Heritability: Kinship studies and single genes 12. The environment: secular changes and social class 13. Group differences 14. Sex differences 15. Epilogue",data/mutualism.pdf,690
56,113,m. kondoh,Foraging Adaptation and the Relationship Between Food-Web Complexity and Stability,2003,"Ecological theory suggests that complex food webs should not persist because of their inherent instability. “Real” ecosystems often support a large number of interacting species. A mathematical model shows that fluctuating short-term selection on trophic links, arising from a consumer's adaptive food choice, is a key to the long-term stability of complex communities. Without adaptive foragers, food-web complexity destabilizes community composition; whereas in their presence, complexity may enhance community persistence through facilitation of dynamical food-web reconstruction that buffers environmental fluctuations. The model predicts a linkage pattern consistent with field observations.",data/mutualism.pdf,696
57,114,t. raykov s. penev,On Structural Equation Model Equivalence.,1999,"A necessary and sufficient condition for equivalence of structural equation models is presented. Compared to existing rules for equivalent model generation (Stelzl, 1986; Lee & Hershberger, 1990; Hershberger, 1994), it is applicable to a more general class including models with parameter restrictions and models that may or may not fulfil assumptions of the rules, to show that two models are nonequivalent, or to nonidentified models. The validity of the replacement rule by Lee and Hershberger, Stelzl's rules, and Hershberger's inverse indicator rule is implied from the present method. Its application for studying model equivalence or lack thereof is demonstrated on a series of empirical examples.",data/mutualism.pdf,704
58,115,s. scarr k. mccartney,How people make their own environments: a theory of genotype greater than environment effects.,1983,"We propose a theory of development in which experience is directed by genotypes. Genotypic differences are proposed to affect phenotypic differences, both directly and through experience, via 3 kinds of genotype leads to environment effects: a passive kind, through environments provided by biologically related parents; an evocative kind, through responses elicited by individuals from others; and an active kind, through the selection of different environments by different people. The theory adapts the 3 kinds of genotype-environment correlations proposed by Plomin, DeFries, and Loehlin in a developmental model that is used to explain results from studies of deprivation, intervention, twins, and families.",data/mutualism.pdf,712
59,63,p. bickley t. keith l. wolfle,The Three-Stratum Theory of Cognitive Abilities: Test of the Structure of Intelligence across the Life Span.,1995,"Recently a three-stratum theory of intelligence that combines the major aspects of Spearman's (1927) theory of general intelligence (g) and Horn and Cattell's (1966) theory of crystallized and fluid intelligence (Gf-Gc) has been proposed (Carroll, 1993a). The purpose of this study was to test the three-stratum theory using hierarchical confirmatory factor analysis with the LISREL computer program. Developmental changes in the structure of intelligence were also investigated. Results provided support for the three-stratum theory and suggested the possibility of intermediate factors between the second and third strata but did not support developmental changes in the organization of cognitive abilities over the life span.",data/mutualism.pdf --> https://www.sciencedirect.com/science/article/pii/0160289695900136,728
60,83,b. anderson,g as a consequence of shared genes,2001,"Discusses a hypothesis of the role of genetics in the g intelligence factor. g can arise from the effect of shared genes influencing cognitive test performance. Population genetics holds that a determinant of retained genetic variation is deleterious mutation load. A simple mathematical demonstration shows that as mutations increase genetic variation, intercorrelation magnitudes become inversely correlated to performance. The hypothesis is plausible and simple, and consistent with the puzzling effect that intercorrelations between cognitive tests are higher at lower ability levels. The hypothesis predicts the need for a profound shift of tactics in the search for biological bases of g. (PsycInfo Database Record (c) 2020 APA, all rights reserved)",data/mutualism.pdf --> https://psycnet.apa.org/record/2001-18689-001,755
61,116,w. dickens j. flynn,Heritability estimates versus large environmental effects: the IQ paradox resolved.,2001,"Some argue that the high heritability of IQ renders purely environmental explanations for large IQ differences between groups implausible. Yet, large environmentally induced IQ gains between generations suggest an important role for environment in shaping IQ. The authors present a formal model of the process determining IQ in which people's IQs are affected by both environment and genes, but in which their environments are matched to their IQs. The authors show how such a model allows very large effects for environment, even incorporating the highest estimates of heritability. Besides resolving the paradox, the authors show that the model can account for a number of other phenomena, some of which are anomalous when viewed from the standard perspective.",data/mutualism.pdf,762
62,117,g. ackland i. gallagher,Stabilization of large generalized Lotka-Volterra foodwebs by evolutionary feedback.,2004,"Conventional ecological models show that complexity destabilizes foodwebs, suggesting that foodwebs should have neither large numbers of species nor a large number of interactions. However, in nature the opposite appears to be the case. Here we show that if the interactions between species are allowed to evolve within a generalized Lotka-Volterra model such stabilizing feedbacks and weak interactions emerge automatically. Moreover, we show that trophic levels also emerge spontaneously from the evolutionary approach, and the efficiency of the unperturbed ecosystem increases with time. The key to stability in large foodwebs appears to arise not from complexity per se but from evolution at the level of the ecosystem which favors stabilizing (negative) feedbacks.",data/mutualism.pdf,769
63,90,m. p. honzik,Measuring Mental Abilities in Infancy,1983,"The development of mental abilities during infancy is impressive and measurable. The pediatrician measures growth in head size, which reflects the growth of the brain. The neuropathologist measures cerebral DNA to estimate cell number and possible damage from malnutrition or other causes (Winick, 1970). The psychologist measures behavioral change by means of careful observations of responses to specific tasks. In this chapter we shall review critically infant tests and their contribution to the understanding of mental growth in the first months of life. Keywords Test Score Test Item Mental Ability Adopted Child Maternal Deprivation These keywords were added by machine and not by the authors. This process is experimental and the keywords may be updated as the learning algorithm improves.",data/mutualism.pdf --> https://link.springer.com/chapter/10.1007/978-1-4899-0322-8_3,797
64,50,e. tideman j. gustafsson,Age related differentiation of cognitive abilities in ages 3–7,2004,"One important issue in the study of individual differences in cognitive abilities has been the question whether abilities tend to become more differentiated with increasing age. The present study examines age-related differentiation in the structure of cognitive abilities among children 3–7 years of age, using data from the recently undertaken Swedish standardisation of the Wechsler Preschool and Primary Scale of Intelligence-Revised. A confirmatory factor analytic modelling approach is applied. Models of different factor structure are built, evaluated and tested against empirical data using the LISREL 8 and the Mplus2 programs run under the STREAMS modelling environment. The results provide support for the notion that cognitive abilities show increasing differentiation with increasing age.",data/mutualism.pdf --> https://www.sciencedirect.com/science/article/abs/pii/S0191886903003611,801
65,87,manuel juan-espinosa l. f. garcía r. colom f. j. abad,Testing the age related differentiation hypothesis through the Wechsler’s scales,2000,"According to the age differentiation hypothesis (ADH), g becomes increasingly invested in specific abilities with age: with increasing age, g should account for a decreasing proportion of the variance in any particular cognitive test. However, there is no conclusive evidence concerning this important topic. Data from the Italian, Spanish, and American standardisation samples of the WPPSI and the WISC-R were analysed in the present study for testing the ADH. No changes in the proportion of variance associated with g in the 4–16 age range were found. This pattern does not change depending on the country. Therefore, the ADH is rejected: g seems to be very stable across age, and, thus, it seems to be an equally important component of intelligence test performance from early childhood to late adolescence.",data/mutualism.pdf --> https://www.sciencedirect.com/science/article/pii/S0191886999002548,811
66,9,m. rietveld conor v. dolan g. v. baal d. boomsma,A Twin Study of Differentiation of Cognitive Abilities in Childhood,2003,"The differentiation hypothesis in cognitive development states that cognitive abilities become progressively more independent as children grow older. Studies of phenotypic development in children have generally failed to produce convincing support for this hypothesis. The aim of the present study is to investigate the issue of differentiation at the genetic and environmental level. Six psychometric measures assessing verbal and nonverbal cognitive abilities were administered to 209 Dutch twin pairs at ages 5, 7, and 10 years. Longitudinal results provided little evidence for the differentiation hypothesis. Stability in subtest performance is due mainly to genetic influences. The shared environment contribution to phenotypic stability is small. The unique environment contributes to age-specific variance only.",data/mutualism.pdf --> https://pubmed.ncbi.nlm.nih.gov/14574137/,819
67,118,l. eaves k. kirk n. martin r. russell,Some implications of chaos theory for the genetic analysis of human development and variation,1999,"Abstract Non-linear epigenetic processes are a potential underlying source of phenotypic differences in development. Simulation studies of twin pairs using simple non-linear development models characterised by chaotic or near-chaotic behavior are presented. The effect of chaotic processes on correlations is to lower them from their initial values, but high initial correlations are affected much less by chaotic and near-chaotic processes than intermediate correlations. Therefore, we would predict that traits affected by chaotic processes would have high MZ and low DZ twin correlations and this is reminiscent of certain traits such as EEG spectra. However the much more frequent observation of MZ correlations close to twice their DZ counterparts would suggest that the role of chaos in development is quite limited.",data/mutualism.pdf,822
68,96,j. gray p. thompson,Neurobiology of intelligence: science and ethics,2004,"Human mental abilities, such as intelligence, are complex and profoundly important, both in a practical sense and for what they imply about the human condition. Understanding these abilities in mechanistic terms has the potential to facilitate their enhancement. There is strong evidence that the lateral prefrontal cortex, and possibly other areas, support intelligent behaviour. Variations in intelligence and brain structure are heritable, but are also influenced by factors such as education, family environment and environmental hazards. Cognitive, psychometric, genetic and neuroimaging studies are converging, and the emergence of mechanistic models of intelligence is inevitable. These exciting scientific advances encourage renewed responsiveness to the social and ethical implications of conducting such research.",data/mutualism.pdf --> https://www.nature.com/articles/nrn1405,823
69,77,d. detterman,General intelligence: Cognitive and biological explanations.,2002,"Many researchers' assumption about g follows a logical chain of explanation: g can be explained by cognitive processes that in turn can be partly explained by biological variables. The author considers the status of the concept of general intelligence and its explanations with special emphasis on biological explanations. First, he discusses g as a scientific construct and itemizes the objections that have been raised against g . Second, he considers cognitive explanations of general intelligence and whether or not such explanations are capable of explaining g . Third, he surveys attempts to relate g to brain functioning and considers the acceptability of various explanations that have been proposed. The emphasis in this chapter is on the potential of explaining g . (PsycInfo Database Record (c) 2023 APA, all rights reserved)",data/mutualism.pdf --> https://psycnet.apa.org/record/2002-02875-009,836
70,119,r. plomin f. spinath,"Intelligence: genetics, genes, and genomics.",2004,"More is known about the genetics of intelligence than about any other trait, behavioral or biological, which is selectively reviewed in this article. Two of the most interesting genetic findings are that heritability of intelligence increases throughout the life span and that the same genes affect diverse cognitive abilities. The most exciting direction for genetic research on intelligence is to harness the power of the Human Genome Project to identify some of the specific genes responsible for the heritability of intelligence. The next research direction will be functional genomics--for example, understanding the brain pathways between genes and intelligence. Deoxyribonucleic acid (DNA) will integrate life sciences research on intelligence; bottom-up molecular biological research will meet top-down psychological research in the brain.",data/mutualism.pdf,847
71,29,e. strahan,The effects of social anxiety and social skills on academic performance,2003,"This 2-year longitudinal study examined whether social anxiety, social skills, and other academic variables affect college grade point average (GPA) and academic persistence. First-year students (n=253) provided baseline data. Those who reported emotional control (e.g. hiding emotions) were less likely to persist. For GPA over the first 2 years of college, predictors included social skills, institutional commitment, academic and social adjustment, high school class rank, quantitative aptitude scores, gender, and ethnicity. Emotional control became a significant predictor of lower GPA by the third semester. Those with higher college adjustment scores, higher class ranks, higher quantitative aptitude scores, and female gender were more likely to earn higher GPAs. Social anxiety did not emerge as a significant predictor of college persistence or GPA.",data/mutualism.pdf --> https://www.sciencedirect.com/science/article/pii/S0191886902000491,859
72,120,h.l.j. van der maas p. molenaar,Stagewise cognitive development: an application of catastrophe theory.,1992,"In this article an overview is given of traditional methodological approaches to stagewise cognitive developmental research. These approaches are evaluated and integrated on the basis of catastrophe theory. In particular, catastrophe theory specifies a set of common criteria for testing the discontinuity hypothesis proposed by Piaget. Separate criteria correspond to distinct methods used in cognitive developmental research. Such criteria are, for instance, the detection of spurts in development, bimodality of test scores, and increased variability of responses during transitional periods. When a genuine stage transition is present, these criteria are expected to be satisfied. A revised catastrophe model accommodating these criteria is proposed for the stage transition in cognitive development from the preoperational to the concrete operational stage.",data/mutualism.pdf,862
73,0,"Ackerman, P. L., Beier, M. E., & Boyle, M. O.",Working memory and intelligence: The same or different constructs?,2005,"Several investigators have claimed over the past decade that working memory (WM) and general intelligence (g) are identical, or nearly identical, constructs, from an individual-differences perspective. Although memory measures are commonly included in intelligence tests, and memory abilities are included in theories of intelligence, the identity between WM and intelligence has not been evaluated comprehensively. The authors conducted a meta-analysis of 86 samples that relate WM to intelligence. The average correlation between true-score estimates of WM and g is substantially less than unity (p=.479). The authors also focus on the distinction between short-term memory and WM with respect to intelligence with a supplemental meta-analysis. The authors discuss how consideration of psychometric and theoretical perspectives better informs the discussion of WM-intelligence relations.",data/mutualism.pdf --> https://pubmed.ncbi.nlm.nih.gov/15631550/,889
74,10,g. reinert,Comparative Factor Analytic Studies of Intelligence throughout The Human Life-Span,1970,"Comparative factor analytic research related to the investigation of age-related changes in the pattern of intelligence is reviewed. Particular attention is paid to studies examining various forms of the differentiation hypothesis of intelligence as originally proposed by Garrett and Burt. While there appears sufficient evidence to indicate the existence of age-related changes in the factorial pattern of intelligence, the data are too contradictory to permit a clear-cut description of the nature of these changes. Attention is drawn to a number of methodological problems associated with comparative factor analytic research, and some implications for the construction of developmental curves are discussed. Finally, suggestions are made for the use of manipulative experiments in the exploration of the developmental conditions that might produce changes in the structural organization of intelligence.",data/mutualism.pdf --> https://www.sciencedirect.com/science/article/pii/B9780122938504500236,908
75,121,e. tucker-drob,Differentiation of cognitive abilities across the life span.,2009,"Existing representations of cognitive ability structure are exclusively based on linear patterns of interrelations. However, a number of developmental and cognitive theories predict that abilities are differentially related across ages (age differentiation-dedifferentiation) and across levels of functioning (ability differentiation). Nonlinear factor analytic models were applied to multivariate cognitive ability data from 6,273 individuals, ages 4 to 101 years, who were selected to be nationally representative of the U.S. population. Results consistently supported ability differentiation but were less clear with respect to age differentiation-dedifferentiation. Little evidence for age modification of ability differentiation was found. These findings are particularly informative about the nature of individual differences in cognition and about the developmental course of cognitive ability level and structure.",10.1037/a0015864,921
76,47,A. Wagner,Causality in complex systems,1999,"Systems involving many interacting variables are at the heart of the natural and social sciences. Causal language is pervasive in the analysis of such systems, especially when insight into their behavior is translated into policy decisions. This is exemplified by economics, but to an increasing extent also by biology, due to the advent of sophisticated tools to identify the genetic basis of many diseases. It is argued here that a regularity notion of causality can only be meaningfully defined for systems with linear interactions among their variables. For the vastly more important class of nonlinear systems, no such notion is likely to exist. This thesis is developed with examples of dynamical systems taken mostly from mathematical biology. It is discussed with particular reference to the problem of causal inference in complex genetic systems, systems for which often only statistical characterizations exist.",data/mutualism.pdf --> https://link.springer.com/article/10.1023/A:1006580900476,921
77,122,d. borsboom g. j. mellenbergh j. van heerden,The concept of validity.,2004,"This article advances a simple conception of test validity: A test is valid for measuring an attribute if (a) the attribute exists and (b) variations in the attribute causally produce variation in the measurement outcomes. This conception is shown to diverge from current validity theory in several respects. In particular, the emphasis in the proposed conception is on ontology, reference, and causality, whereas current validity theory focuses on epistemology, meaning, and correlation. It is argued that the proposed conception is not only simpler but also theoretically superior to the position taken in the existing literature. Further, it has clear theoretical and practical implications for validation research. Most important, validation research must not be directed at the relation between the measured attribute and other attributes but at the processes that convey the effect of the measured attribute on the test scores.",data/mutualism.pdf,933
78,123,d. saklofske zhiming yang jianjun zhu e. austin,Spearman's law of diminishing returns in normative samples for the WISC-IV and WAIS-III,2008,"In order to explain observed variations in intelligence test scores, Spearman (1927) proposed the “law of diminishing returns” (SLODR). It states that the g saturation of cognitive ability tests decreases as a function of ability or age. Published studies have shown mixed results. However, a recent review (Hartmann & Nyborg, 2004) suggests that there is evidence for differences in g saturation by ability level, but that observed age effects on g saturation are most likely to be a consequence of the ability effect. The current study analyzed the standardization data of the most recent Wechsler scales for both children and adults from several different countries. This study did not find evidence to support either the ability or age version of SLODR by using large normative samples for the WISC-IV from the United States, Canada, and Australia, and for the WAIS-III from the same three countries and also from The Netherlands.",10.1027/1614-0001.29.2.57,934
79,124,d. garlick,Understanding the nature of the general factor of intelligence: the role of individual differences in neural plasticity as an explanatory mechanism.,2002,"The nature of the general factor of intelligence, or g, is examined. This article begins by observing that the finding of a general factor of intelligence appears to be inconsistent with current findings in neuroscience and cognitive science, where specific connections are argued to be critical for different intellectual abilities and the brain is argued to develop these connections in response to environmental stimuli. However, it is then observed that if people differed in neural plasticity, or the ability to adapt their connections to the environment, then those highly developed in one intellectual ability would be highly developed in other intellectual abilities as well. Simulations are then used to confirm that such a pattern would be obtained. Such a model is also shown to account for many other findings in the field of intelligence that are currently unexplained. A critical period for intellectual development is then emphasized.",data/mutualism.pdf,949
80,125,p. molenaar m. raijmakers,Additional aspects of third source variation for the genetic analysis of human development and behaviour: a commentary on Eaves et al.,1999,"showing some effects of chaotic processes on MZ and DZ twin correlations. More specifically, they use the logistic equation, x(t +1 ) =kx(t)[1 ‐ x(t)], where k is a parameter and t denotes discrete time, as a simple developmental model and simulate MZ and DZ twin phenotypic time series under various assumptions concerning the starting value x(0) and using a number of distinct values for the parameter k. In discussing the results thus obtained, Eaves et al 1 draw some conclusions with respect to, for example, the possible forms and prevalence of chaotic variation in developmental processes as proposed by Molenaar et al. 2 In the following we present the results of alternative simulation studies that show additional aspects of chaotic variation in the genetic analysis of human development. Finally, we discuss some of the implications of our own results with respect to the interpretations given by Eaves et al 1 of their simulation results.",data/mutualism.pdf,950
81,126,p. geert,Dynamic systems of development: Change between complexity and chaos,1994,"The author shows how simple models based on mutual interactions between children and their environments explain not only smooth evolutions but also sudden jumps, temporal regressions, cycles and chaotic change in cognitive and language development. A central concept of the system is non-linearity - small causes can have big effects and variables may be sensitive to threshold effects. Using this dynamics systems model, the text demonstrates that the classic develomental models, such as Piaget's assimilation-accomodation model or Vygotsky's zone of proximal development, reveal hidden complexities. Models which explain orderly change and stability can also explain chaotic, unstable and unpredictable processes. The thesis is illustrated with examples from early language development, and social and personality development during adolescence. Mathematical equations and easy tutorials enable the reader to test the model in a spreadsheet format.",data/mutualism.pdf,951
82,60,n. bayley,Consistency and variability in the growth of intelligence from birth to eighteen years. 1949.,1949,"The purpose of this report was ""to present the growth trends in intelligence for… 40 children who had been tested at most or all of 38 testing ages from one month through 18 years of age. Attention has been focused primarily on age changes in variability of intelligence test scores and on individual consistency in relative scores. Some evidence has been found which indicates that the distributions of intelligence test scores do not exhibit consistent trends in variability during growth… children's scores are very labile during infancy, and become gradually more stable. By school age the prediction of the general level of intelligence is fairly stable. However, there are considerable individual differences in lability at all ages. This is true for… Sigma Scores, but when the test-norm IQ's are used there is much wider fluctuation."" No sex difference in lability was noted. 39 references. (PsycINFO Database Record (c) 2018 APA, all rights reserved)",data/mutualism.pdf --> https://psycnet.apa.org/record/1950-04511-001,959
83,68,j. m. braungart d. fulker r. plomin,Genetic mediation of the home environment during infancy: A sibling adoption study of the HOME.,1992,"Recent research has demonstrated that measures of the environment show genetic mediation. This study examined resemblance of 105 nonadoptive and 85 adoptive sibling pairs from the Colorado Adoption Project on an objective measure of the environment (Home Observation for Measurement of the Environment [HOME]). Each sibling's home environment was assessed at 12 and 24 mo of age. Nonadoptive sibling correlations were greater than those for adoptive sibling pairs at both ages, suggesting genetic contributions on the HOME. In addition, the possibility was explored that bivariate associations between environment and outcome measures may be mediated genetically by using the HOME and N. Bayley's Mental Development Index (MDI). Phenotypic and cross-sibling correlations were greater for nonadoptive siblings than for adoptive pairs at age 2, suggesting genetic mediation of the HOME–MDI association. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",data/mutualism.pdf --> https://psycnet.apa.org/record/1993-09084-001,961
84,48,s. wadsworth j. defries d. fulker r. olson b. pennington,Reading Performance and Verbal Short-Term Memory: A Twin Study of Reciprocal Causation.,1995,"Although a significant relationship between reading performance and verbal short-term memory (VSTM) has been well documented, the etiology of this relationship has not been fully explored. In the study presented here, the genetic and environmental causes of the phenotypic association between reading and VSTM were analyzed using twin data from the Colorado Reading Project. Results of bivariate behavioral genetic analyses indicate that both reading ability and VSTM are highly heritable, and that a substantial proportion of their phenotypic correlation is due to common genetic influences. Moreover, results of analyses of direction of causation suggest that differences in reading performance (or reading component processes) may influence performance on VSTM tasks, but that differences in VSTM are not an important cause of variation in reading performance. However, the possibility of a common cause of both reading performance and VSTM is not precluded.",data/mutualism.pdf --> https://www.sciencedirect.com/science/article/pii/0160289695900306,961
85,19,j. mcardle f. hamagami w. meredith k. bradway,Modeling the dynamic hypotheses of Gf-Gc theory using longitudinal life-span data.,2000,"This research uses multiple-sample longitudinal data from different test batteries to examine propositions about changes in constructs over the lifespan. The data come from three classic studies on intellectual abilities where, in combination, N=441 persons are repeatedly measures as many as 16 times over 70 years. Cognitive constructs of Vocabulary and Memory were measured using eight different age-appropriate intelligence test batteries, and we explore possible linkage of these scales using Item Response Theory (IRT). We simultaneously estimate the parameters of both IRT and Latent Curve Models (LCM) based on a joint model likelihood approach (i.e., NLMIXED and WINBUGS). Group differences are included in the model to examine potential inter-individual differences in levels and change. The resulting Longitudinal IRT (LIRT) analyses leads to a few new methodological suggestions for dealing with repeated constructs based on changing measurements in developmental studies.",data/mutualism.pdf --> https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2831479/,984
86,36,peter v. w. hartmann m. reuter,Spearman's law of diminishing returns tested with two methods,2006,"Spearman's “Law of Diminishing Returns” with regard to ability is tested in a dataset from the National Longitudinal Study of Youth. The dataset consisted of a sample of 6980 children aged 12–16 from the 1997 cohort. The subjects were tested with a computer administrated adaptive format of the Armed Services Vocational Aptitude Battery consisting of 12 subtests. Spearman's “Law of Diminishing Returns” was tested by two methods both dividing the sample into Low/High ability based either on the total score on the test or on the score one of the 12 subtests. Subsequently the ability groups were factor analysed separately. The eigenvalue of the first principal component and the first principal axis factor, and the average inter-correlation of the subtests were used as estimates of the g saturation and compared across groups. The study could not confirm Spearman's “Law of Diminishing Returns” for any of the methods applied and did not find any relevant differences across methods applied.",10.1016/J.INTELL.2005.06.002 --> https://www.sciencedirect.com/science/article/abs/pii/S0160289605000632#!,997
87,127,peter v. w. hartmann,Spearman's law of diminishing returns: A look at age differentiation.,2006,"Spearman's Law of Diminishing Returns (SLODR) with regard to age was tested in two different databases from the National Longitudinal Survey of Youth. The first database consisted of 6,980 boys and girls aged 12–16 from the 1997 cohort (NLSY 1997). The subjects were tested with a computer-administered adaptive format (CAT) of the Armed Services Vocational Aptitude Battery (ASVAB) consisting of 12 subtests. The second database consisted of 11,448 male and female subjects aged 15–24 from the 1979 cohort (NLSY 1979). These subjects were tested with the older 10-subtest version of the ASVAB. The hypothesis was tested by dividing the sample into Young and Old age groups while keeping IQ fairly constant by a method similar to the one developed and employed by Deary et al. (1996). The different age groups were subsequently factor-analyzed separately. The eigenvalue of the first principal component (PC1) and the first principal axis factor (PAF1), and the average intercorrelation of the subtests were used as esti...",10.1027/1614-0001.27.4.199,1023
88,39,i. deary vincent egan g. j. gibson e. austin c. brand thomas kellaghan,Intelligence and the differentiation hypothesis,1996,"Individual differences in human intelligence are of interest to a wide range of psychologists and to many people outside the discipline. This overview of contributions to intelligence research covers the first decade of the twenty-first century. There is a survey of some of the major books that appeared since 2000, at different levels of expertise and from different points of view. Contributions to the phenotype of intelligence differences are discussed, as well as some contributions to causes and consequences of intelligence differences. The major causal issues covered concern the environment and genetics, and how intelligence differences are being mapped to brain differences. The major outcomes discussed are health, education, and socioeconomic status. Aging and intelligence are discussed, as are sex differences in intelligence and whether twins and singletons differ in intelligence. More generally, the degree to which intelligence has become a part of broader research in neuroscience, health, and social science is discussed.",10.1016/S0160-2896(96)90008-2 --> https://pubmed.ncbi.nlm.nih.gov/21943169/,1043
89,34,j. nijenhuis peter v. w. hartmann,Spearman's Law of Diminishing Returns in samples of Dutch and immigrant children and adults,2006,"Spearman's “Law of Diminishing Returns” states that the g saturation of a test is greater for individuals with lower, rather than higher, test scores, and that it decreases with age. A common methodological problem in testing Spearman's “Law of Diminishing Returns” with respect to ability differentiation is how to create the high and low ability groups. This study used data from five samples of Dutch and of immigrants who where administrated traditional cognitive ability tests and cognitively loaded safety suitability tests. Their large average test score difference in cognitive ability produced the two ability level groups required. Analysis of each group yielded highly comparable variance, reliability, and factor structure. The effect sizes were in the direction predicted by Spearman's Law, but of modest size, lying between − 0.012 and 0.097, with an average of 0.02 across 1–1.5 SD ability difference. The results for our five samples are quite consistent with over 75 years of research establishing the reality of Spearman's Law.",10.1016/J.INTELL.2006.02.002 --> https://www.sciencedirect.com/science/article/abs/pii/S0160289606000183,1045
90,40,b. facon,Sur la différenciation des aptitudes cognitives de l'enfant,2007,"Résumé Les données d'étalonnage des Échelles Différentielles d'Efficiences Intellectuelles ont été analysées de manière à éprouver l'hypothèse de la différenciation des aptitudes cognitives au cours de l'enfance. L'échantillon total (n = 574) a été subdivisé en trois groupes en fonction de l'âge chronologique (4–5, 6–7 et 8–9 ans). Les analyses confirmatoires « multigroupe » montrent que les corrélations inter-sous-tests, les saturations, la corrélation entre les facteurs et la variance résiduelle des sous-tests sont comparables quel que soit l'âge des participants. Ce résultat ne paraît pas être la conséquence d'un biais d'échantillonnage ni d'une liaison positive entre l'âge et la fidélité ou la variabilité des mesures. Comme d'autres études récentes, il invite à reconsidérer l'idée d'une diminution progressive de la contribution du facteur général à la variance des aptitudes pendant l'enfance, tout au moins lorsque les analyses portent sur des échelles composites d'intelligence administrées à des participants non sélectionnés.",10.1016/J.ERAP.2006.10.002 --> https://www.sciencedirect.com/science/article/abs/pii/S1162908807000394,1045
91,128,h.l.j. van der maas k. kan m. marsman c. stevenson,Network Models for Cognitive Development and Intelligence,2017,"Cronbach’s (1957) famous division of scientific psychology into two disciplines is still apparent for the fields of cognition (general mechanisms) and intelligence (dimensionality of individual differences). The welcome integration of the two fields requires the construction of mechanistic models of cognition and cognitive development that explain key phenomena in individual differences research. In this paper, we argue that network modeling is a promising approach to integrate the processes of cognitive development and (developing) intelligence into one unified theory. Network models are defined mathematically, describe mechanisms on the level of the individual, and are able to explain positive correlations among intelligence subtest scores—the empirical basis for the well-known g-factor—as well as more complex factorial structures. Links between network modeling, factor modeling, and item response theory allow for a common metric, encompassing both discrete and continuous characteristics, for cognitive development and intelligence.",10.3390/JINTELLIGENCE5020016,1049
92,56,d. detterman m. daniel,Correlations of Mental Tests with Each Other and with Cognitive Variables Are Highest for Low IQ Groups.,1989,"Two studies showed an inverse relationship between ability level and correlations among IQ measures. Low IQ subjects showed much higher correlations than high IQ subjects. Intercorrelations of IQ subtests, correlations of cognitive ability measures with each other, and correlations of IQ with measures of cognitive abilities all displayed the same effect. In the first study, data from two experiments in which subjects took a battery of basic cognitive tasks and a standard IQ test were analyzed. Measures from the basic tasks correlated more highly in the low IQ group than in the high IQ group. In the second study, data from the WAIS-R and WISC-R standardization samples were divided into five ability groups. Average correlations among subtests were computed for each ability group. For both the WAIS-R and WISC-R, average subtest correlations were highest in the low ability group. Correlations declined systematically with increasing IQ. In both studies, correlations were found to be two times higher in low IQ groups than in high IQ groups.",10.1016/S0160-2896(89)80007-8 --> https://www.sciencedirect.com/science/article/pii/S0160289689800078,1050
93,129,p. rabbitt p. diggle f. holland l. mcinnes,Practice and drop-out effects during a 17-year longitudinal study of cognitive aging.,2004,"Interpretations of longitudinal studies of cognitive aging are misleading unless effects of practice and selective drop-out are considered. A random effects model taking practice and drop-out into account analyzed data from four successive presentations of each of two intelligence tests, two vocabulary tests, and two verbal memory tests during a 17-year longitudinal study of 5,899 community residents whose ages ranged from 49 to 92 years. On intelligence tests, substantial practice effects counteracted true declines observed over 3 to 5 years of aging and remained significant even with intervals of 7 years between successive assessments. Adjustment for practice and drop-out revealed accelerating declines in fluid intelligence and cumulative learning, linear declines in verbal free recall, and no substantial change in vocabulary. Socioeconomic status and basal levels of general fluid ability did not affect rates of decline. After further adjustment for demographics, variability between individuals was seen to increase as the sample aged.",data/mutualism.pdf,1052
